w\k,3,4,5,6,7,8,9,10
4,20.17
5,14.47,17.79
6,11.86,13.00,17.03
7,10.46,10.75,12.67,15.71
8,9.69,9.59,10.82,12.21,14.86
9,9.24,9.07,9.48,10.21,11.45,13.60
10,9.00,8.73,8.95,9.37,9.95,10.64,13.06
11,8.92,8.61,8.71,8.94,9.24,9.13,10.45,12.83
