w\k,3,4,5,6,7,8,9,10
4,"R=0.714, BT=21.41s, QT=1.03s, FS=58930KB, FN=0.000, FP=0.049, FPR=0.048"
5,"R=0.545, BT=15.25s, QT=0.93s, FS=46085KB, FN=0.000, FP=0.083, FPR=0.040","R=0.715, BT=19.81s, QT=1.04s, FS=58991KB, FN=0.000, FP=0.046, FPR=0.046"
6,"R=0.441, BT=12.24s, QT=1.31s, FS=38249KB, FN=0.000, FP=1.427, FPR=0.107","R=0.544, BT=14.19s, QT=0.92s, FS=46016KB, FN=0.000, FP=0.112, FPR=0.040","R=0.715, BT=18.19s, QT=1.21s, FS=59003KB, FN=0.000, FP=0.049, FPR=0.049"
7,"R=0.373, BT=10.72s, QT=2.86s, FS=33078KB, FN=0.000, FP=8.789, FPR=0.211","R=0.442, BT=11.24s, QT=1.00s, FS=38327KB, FN=0.000, FP=0.645, FPR=0.072","R=0.544, BT=13.24s, QT=0.95s, FS=46019KB, FN=0.000, FP=0.071, FPR=0.042","R=0.715, BT=16.70s, QT=1.06s, FS=59005KB, FN=0.000, FP=0.046, FPR=0.046"
8,"R=0.321, BT=9.44s, QT=8.35s, FS=29079KB, FN=0.000, FP=37.912, FPR=0.313","R=0.373, BT=9.67s, QT=2.35s, FS=33060KB, FN=0.000, FP=5.843, FPR=0.133","R=0.442, BT=10.80s, QT=1.19s, FS=38307KB, FN=0.000, FP=0.951, FPR=0.075","R=0.544, BT=12.39s, QT=0.99s, FS=46014KB, FN=0.000, FP=0.104, FPR=0.040","R=0.715, BT=15.56s, QT=1.11s, FS=59005KB, FN=0.000, FP=0.050, FPR=0.050"
9,"R=0.283, BT=8.67s, QT=17.92s, FS=26236KB, FN=0.000, FP=96.096, FPR=0.420","R=0.320, BT=8.59s, QT=5.90s, FS=29054KB, FN=0.000, FP=19.742, FPR=0.208","R=0.373, BT=9.22s, QT=2.00s, FS=33016KB, FN=0.000, FP=4.447, FPR=0.119","R=0.442, BT=10.72s, QT=1.20s, FS=38302KB, FN=0.000, FP=0.850, FPR=0.082","R=0.544, BT=12.97s, QT=1.06s, FS=46013KB, FN=0.000, FP=0.105, FPR=0.043","R=0.715, BT=14.71s, QT=1.03s, FS=59005KB, FN=0.000, FP=0.052, FPR=0.052"
10,"R=0.253, BT=8.07s, QT=29.39s, FS=23952KB, FN=0.000, FP=165.434, FPR=0.536","R=0.283, BT=7.88s, QT=10.73s, FS=26197KB, FN=0.000, FP=38.648, FPR=0.296","R=0.320, BT=8.16s, QT=3.46s, FS=29064KB, FN=0.000, FP=9.789, FPR=0.166","R=0.372, BT=8.81s, QT=1.39s, FS=33002KB, FN=0.000, FP=2.079, FPR=0.134","R=0.442, BT=9.71s, QT=0.97s, FS=38301KB, FN=0.000, FP=0.469, FPR=0.096","R=0.544, BT=11.27s, QT=0.97s, FS=46012KB, FN=0.000, FP=0.058, FPR=0.037","R=0.715, BT=13.89s, QT=1.11s, FS=59005KB, FN=0.000, FP=0.048, FPR=0.048"
11,"R=0.227, BT=7.65s, QT=45.61s, FS=21993KB, FN=0.000, FP=261.808, FPR=0.647","R=0.252, BT=7.34s, QT=17.60s, FS=23902KB, FN=0.000, FP=64.552, FPR=0.390","R=0.283, BT=7.52s, QT=5.36s, FS=26187KB, FN=0.000, FP=17.044, FPR=0.246","R=0.321, BT=7.82s, QT=2.00s, FS=29074KB, FN=0.000, FP=4.049, FPR=0.195","R=0.372, BT=8.46s, QT=1.08s, FS=32999KB, FN=0.000, FP=0.969, FPR=0.163","R=0.442, BT=9.14s, QT=1.00s, FS=38301KB, FN=0.000, FP=0.183, FPR=0.071","R=0.544, BT=10.65s, QT=0.97s, FS=46012KB, FN=0.000, FP=0.035, FPR=0.034","R=0.715, BT=13.33s, QT=1.11s, FS=59005KB, FN=0.000, FP=0.050, FPR=0.050"
