w\k,3,4,5,6,7,8,9,10
4,21.34
5,15.20,19.64
6,12.24,14.15,18.07
7,10.71,11.23,13.19,16.72
8,9.53,9.85,10.96,12.52,15.74
9,8.68,8.57,9.16,10.16,11.74,14.46
10,8.05,8.26,8.79,9.54,10.33,10.97,13.77
11,7.63,7.32,7.43,7.80,8.53,9.19,10.61,13.30
