w\k,3,4,5,6,7,8,9,10
4,"R=0.680, BT=20.16s, QT=0.99s, FS=56348KB, FN=0.000, FP=0.160, FPR=0.076"
5,"R=0.511, BT=14.50s, QT=0.89s, FS=43529KB, FN=0.000, FP=1.522, FPR=0.130","R=0.656, BT=17.77s, QT=0.97s, FS=54512KB, FN=0.000, FP=0.149, FPR=0.067"
6,"R=0.407, BT=11.82s, QT=1.07s, FS=35649KB, FN=0.000, FP=11.615, FPR=0.221","R=0.490, BT=12.96s, QT=0.85s, FS=41946KB, FN=0.000, FP=1.223, FPR=0.136","R=0.670, BT=17.03s, QT=0.99s, FS=55617KB, FN=0.000, FP=0.131, FPR=0.075"
7,"R=0.339, BT=10.48s, QT=2.86s, FS=30459KB, FN=0.000, FP=135.998, FPR=0.316","R=0.392, BT=10.71s, QT=0.97s, FS=34516KB, FN=0.000, FP=8.690, FPR=0.178","R=0.503, BT=12.67s, QT=0.87s, FS=42909KB, FN=0.000, FP=1.097, FPR=0.127","R=0.666, BT=15.67s, QT=0.99s, FS=55319KB, FN=0.000, FP=0.128, FPR=0.072"
8,"R=0.290, BT=9.70s, QT=8.10s, FS=26736KB, FN=0.000, FP=570.639, FPR=0.411","R=0.328, BT=9.57s, QT=2.55s, FS=29621KB, FN=0.000, FP=89.030, FPR=0.236","R=0.403, BT=10.57s, QT=1.07s, FS=35310KB, FN=0.000, FP=13.392, FPR=0.172","R=0.500, BT=11.93s, QT=0.88s, FS=42686KB, FN=0.000, FP=1.386, FPR=0.123","R=0.666, BT=14.75s, QT=0.99s, FS=55309KB, FN=0.000, FP=0.169, FPR=0.074"
9,"R=0.254, BT=9.22s, QT=16.55s, FS=23995KB, FN=0.000, FP=1296.638, FPR=0.521","R=0.281, BT=8.95s, QT=6.95s, FS=26087KB, FN=0.000, FP=309.694, FPR=0.309","R=0.335, BT=9.45s, QT=1.93s, FS=30190KB, FN=0.000, FP=54.758, FPR=0.210","R=0.400, BT=10.22s, QT=1.03s, FS=35105KB, FN=0.000, FP=11.821, FPR=0.167","R=0.500, BT=11.47s, QT=0.88s, FS=42702KB, FN=0.000, FP=1.324, FPR=0.121","R=0.667, BT=13.62s, QT=0.99s, FS=55395KB, FN=0.000, FP=0.165, FPR=0.065"
10,"R=0.225, BT=9.00s, QT=28.30s, FS=21857KB, FN=0.000, FP=2285.969, FPR=0.633","R=0.247, BT=8.72s, QT=12.10s, FS=23476KB, FN=0.000, FP=571.625, FPR=0.373","R=0.287, BT=8.91s, QT=3.42s, FS=26509KB, FN=0.000, FP=127.143, FPR=0.252","R=0.333, BT=9.35s, QT=1.39s, FS=30002KB, FN=0.000, FP=30.209, FPR=0.212","R=0.400, BT=9.92s, QT=0.86s, FS=35081KB, FN=0.000, FP=5.447, FPR=0.168","R=0.501, BT=10.65s, QT=0.86s, FS=42733KB, FN=0.000, FP=1.236, FPR=0.118","R=0.666, BT=13.09s, QT=0.98s, FS=55324KB, FN=0.000, FP=0.189, FPR=0.068"
11,"R=0.203, BT=8.91s, QT=40.07s, FS=20127KB, FN=0.000, FP=3302.469, FPR=0.726","R=0.220, BT=8.60s, QT=19.88s, FS=21428KB, FN=0.000, FP=944.072, FPR=0.458","R=0.250, BT=8.71s, QT=5.39s, FS=23742KB, FN=0.000, FP=213.972, FPR=0.316","R=0.285, BT=8.94s, QT=1.81s, FS=26364KB, FN=0.000, FP=49.459, FPR=0.260","R=0.333, BT=9.24s, QT=1.06s, FS=30032KB, FN=0.000, FP=11.963, FPR=0.219","R=0.400, BT=9.14s, QT=0.84s, FS=35125KB, FN=0.000, FP=2.961, FPR=0.171","R=0.500, BT=10.43s, QT=0.84s, FS=42683KB, FN=0.000, FP=0.672, FPR=0.132","R=0.667, BT=12.88s, QT=0.98s, FS=55339KB, FN=0.000, FP=0.069, FPR=0.051"
