w\k,3,4,5,6,7,8,9,10
4,0.076
5,0.130,0.067
6,0.221,0.136,0.075
7,0.316,0.178,0.127,0.072
8,0.411,0.236,0.172,0.123,0.074
9,0.521,0.309,0.210,0.167,0.121,0.065
10,0.633,0.373,0.252,0.212,0.168,0.118,0.068
11,0.726,0.458,0.316,0.260,0.219,0.171,0.132,0.051
