w\k,3,4,5,6,7,8,9,10
4,0.173
5,0.233,0.178
6,0.333,0.238,0.178
7,0.445,0.285,0.224,0.179
8,0.562,0.357,0.278,0.228,0.179
9,0.679,0.431,0.316,0.278,0.228,0.180
10,0.777,0.517,0.374,0.314,0.276,0.220,0.173
11,0.876,0.609,0.439,0.355,0.316,0.279,0.232,0.182
