w\k,3,4,5,6,7,8,9,10
4,0.714
5,4.824,0.608
6,35.956,4.695,0.647
7,306.878,27.489,4.082,0.553
8,1633.310,269.490,45.468,5.790,0.725
9,4521.170,930.754,195.440,39.842,6.386,0.640
10,7918.684,1839.765,454.380,101.224,24.078,4.825,0.694
11,12782.441,3104.124,786.600,196.267,48.541,12.679,3.163,0.511
