w\k,3,4,5,6,7,8,9,10
4,20.12
5,14.50,17.79
6,11.87,13.01,17.08
7,10.50,10.75,12.67,15.74
8,9.69,9.63,10.67,11.96,14.71
9,9.24,8.98,9.47,10.21,11.45,13.69
10,9.01,8.81,9.57,9.39,9.96,10.64,13.09
11,8.91,8.55,8.71,8.95,9.21,9.20,10.45,12.86
