w\k,3,4,5,6,7,8,9,10
4,0.177
5,0.228,0.181
6,0.292,0.231,0.180
7,0.372,0.279,0.230,0.178
8,0.463,0.323,0.271,0.232,0.182
9,0.550,0.380,0.311,0.274,0.236,0.174
10,0.633,0.440,0.350,0.315,0.280,0.226,0.178
11,0.727,0.504,0.415,0.351,0.323,0.279,0.236,0.187
