w\k,3,4,5,6,7,8,9,10
4,21.34
5,15.14,19.72
6,12.23,14.13,18.06
7,10.64,11.20,13.22,16.64
8,9.45,9.69,10.69,12.42,15.56
9,8.65,8.62,9.15,10.16,12.00,15.43
10,8.50,7.95,8.12,8.74,9.67,11.03,13.78
11,7.65,7.40,7.44,7.79,8.45,9.13,10.56,13.33
