w\k,3,4,5,6,7,8,9,10
4,0.98
5,0.87,0.96
6,1.00,0.85,0.98
7,2.70,0.95,0.88,0.99
8,7.59,2.48,1.06,0.86,1.00
9,15.49,6.78,1.88,0.99,0.85,0.98
10,26.42,11.70,3.32,1.35,0.85,0.86,0.97
11,37.07,18.96,5.13,1.74,0.96,0.83,0.83,0.97
