w\k,3,4,5,6,7,8,9,10
4,0.714
5,0.545,0.715
6,0.441,0.544,0.715
7,0.373,0.442,0.544,0.715
8,0.321,0.373,0.442,0.544,0.715
9,0.283,0.320,0.373,0.442,0.544,0.715
10,0.253,0.283,0.320,0.372,0.442,0.544,0.715
11,0.227,0.252,0.283,0.321,0.372,0.442,0.544,0.715
